"What is a computer network?","A single computer","Two or more computing devices connected to exchange info and share resources","A device that provides services","A connection point in a network","Two or more computing devices connected to exchange info and share resources"
"Which of the following is NOT a connection medium mentioned for networks?","Copper wire","Radio waves","Infrared light beams","Water pipes","Water pipes"
"What is a primary objective of networks?","To provide sharing of resources","To make computers slower","To decrease reliability","To centralize all processing on one machine","To provide sharing of resources"
"How do networks provide high reliability?","By using only one processor","By having alternative sources of supply","By slowing down traffic","By using only one route","By having alternative sources of supply"
"What is 'distributed processing'?","All processing is on one large computer","Taking processing out of a single computer and distributing it","Centralized control for a distributed system","Sharing of information (databases)","Taking processing out of a single computer and distributing it"
"What is the term for 'doing business with customers over the network', such as online shopping?","e-Banking","Videoconferencing","E-commerce","Telemedicine","E-commerce"
"What network use involves 'remote patient monitoring'?","E-commerce","Telemedicine","e-Banking","Digital library","Telemedicine"
"What does 'LAN' stand for?","Local Area Network","Large Area Network","Long Area Network","Legal Area Network","Local Area Network"
"What is the typical geographic span of a LAN?","A limited area like a home, school, or office","A city","A country or continent","The entire planet","A limited area like a home, school, or office"
"What is the approximate maximum radius for a LAN?","5 km","50 km","1 km","100,000 km","1 km"
"Which devices are used for a LAN?","Routers, switches, hubs, repeaters, bridges","Communication servers and modems","Only satellites","Only computers","Routers, switches, hubs, repeaters, bridges"
"What does 'WAN' stand for?","Wide Area Network","Web Area Network","Wired Area Network","Wireless Area Network","Wide Area Network"
"What is the approximate maximum radius for a WAN?","1 km","50 km","100,000 km","10 meters","100,000 km"
"Which devices are commonly used in WANs?","Hubs and repeaters","Routers, communication servers, and modems","Only switches","Only bridges","Routers, communication servers, and modems"
"What does 'MAN' stand for?","Metropolitan Area Network","Massive Area Network","Main Area Network","Managed Area Network","Metropolitan Area Network"
"What is the typical geographic span of a MAN?","A single building","A city or a group of buildings","A country","The world","A city or a group of buildings"
"What is the span range of a MAN?","1 km","5 to 50 km","100,000 km","10 meters","5 to 50 km"
"According to the table, a network spanning 10 km in a city is a...?","LAN","MAN","WAN","PAN","MAN"
"According to the table, a network spanning 1000 km on a campus is a...?","LAN","MAN","WAN","PAN","LAN"
"What is another name for a 'network configuration'?","Network topology","Network type","Network device","Network objective","Network topology"
"Which of the following is NOT a major goal for a network designer?","Provide maximum reliability","Route traffic through the least cost path","Give users the best response time","Use the most expensive cables possible","Use the most expensive cables possible"
"In which topology does each device attach directly to a common cable called a 'backbone'?","Bus","Star","Ring","Mesh","Bus"
"What is the function of a 'T-Terminator' in a bus topology?","To connect new devices","To absorb electrical signals and prevent reflections","To speed up transmission","To act as a central hub","To absorb electrical signals and prevent reflections"
"What is a major disadvantage of the bus topology?","If the bus goes down, the whole network shuts down","It is too expensive","It is too secure","It has no data collisions","If the bus goes down, the whole network shuts down"
"Why does a bus topology have 'Low Performance'?","Data can move in two directions","Only one device should send at a time to prevent collisions","The T-Terminators slow it down","It is too easy to install","Only one device should send at a time to prevent collisions"
"In which topology are devices connected in a 'circular pattern'?","Bus","Star","Ring","Mesh","Ring"
"What is an advantage of a ring topology?","No data collisions","The whole network fails if one node fails","Slower transmission","Low security","No data collisions"
"What is a disadvantage of a ring topology?","No data collisions","Easy to install","The whole network fails if a single node fails","It's very fast","The whole network fails if a single node fails"
"In which topology does each device have a 'dedicated set of wires connecting it to a central network hub'?","Bus","Star","Ring","Mesh","Star"
