What is the primary role of an operating system as defined in the text?,An intermediary between a user and computer hardware,A program that only manages application execution,A hardware component that controls the CPU,A tool exclusively for compiling source code,An intermediary between a user and computer hardware
Which of the following is NOT one of the four main components of a computer system?,Hardware,Operating System,Application Programs,Network Interface,Network Interface
"In the context of an operating system, what is the kernel?",The one program running at all times on the computer,A program that manages user authentication only,The entire set of applications shipped by the vendor,A hardware chip responsible for memory management,The one program running at all times on the computer
What are the two primary roles of an operating system from a system's point of view?,Resource allocator and control program,User interface and web browser,Compiler and text editor,Database manager and network scheduler,Resource allocator and control program
What is the name of the initial program loaded at power-up or reboot?,Bootstrap program,Kernel,System call,Command interpreter,Bootstrap program
Where is the bootstrap program typically stored?,ROM or EPROM (firmware),Hard disk,Main memory (RAM),Cache,ROM or EPROM (firmware)
What is a trap or exception?,A software-generated interrupt,A hardware failure in the CPU,An interrupt from an I/O device,A security breach attempt,A software-generated interrupt
What is the only large storage medium that the CPU can access directly?,Main memory,Hard disk,Solid-state disk,Magnetic tape,Main memory
Which of the following storage types is typically volatile?,Main memory,Hard disks,Solid-state disks,Magnetic tapes,Main memory
Storage systems are organized in a hierarchy based on what three characteristics?,"Speed, Cost, and Volatility","Size, Weight, and Power Consumption","Manufacturer, Model, and Interface","Read speed, Write speed, and Access time","Speed, Cost, and Volatility"
What is the process of copying information into a faster storage system temporarily called?,Caching,Interrupting,Polling,Swapping,Caching
What is the purpose of Direct Memory Access (DMA)?,To allow device controllers to transfer data directly to main memory without CPU intervention,To allow the CPU to access the hard disk directly,To manage the storage hierarchy,To execute privileged instructions in user mode,To allow device controllers to transfer data directly to main memory without CPU intervention
In which type of multiprocessing does each processor perform all tasks?,Symmetric Multiprocessing,Asymmetric Multiprocessing,Clustered Multiprocessing,Dual-Core Processing,Symmetric Multiprocessing
How do clustered systems typically share storage?,Via a storage-area network (SAN),Via a common bus,Via direct CPU-to-CPU connection,They do not share storage,Via a storage-area network (SAN)
What defines asymmetric clustering?,One machine is in hot-standby mode while the other runs applications,All nodes are running applications and monitoring each other,Each processor is assigned a specific task,All nodes are considered peers,One machine is in hot-standby mode while the other runs applications
What is the main goal of multiprogramming?,To keep the CPU busy at all times by organizing jobs,To allow users to interact with each job while it is running,To run multiple operating systems on the same hardware,To connect multiple computers into a cluster,To keep the CPU busy at all times by organizing jobs
What technique moves processes in and out of memory to run them when they don't fit completely?,Swapping,Caching,DMA,Polling,Swapping
What is the purpose of dual-mode operation (user mode and kernel mode)?,To protect the OS and other system components,To increase the speed of the CPU,To manage multiple users on the same system,To allow for virtualization,To protect the OS and other system components
What type of instruction can only be executed in kernel mode?,Privileged instruction,User instruction,System call,API call,Privileged instruction
How does a user process transition from user mode to kernel mode?,"By making a system call, which causes a trap",By triggering a hardware interrupt,By directly modifying the mode bit,By waiting for the timer to expire,"By making a system call, which causes a trap"
What hardware mechanism prevents a process from hogging resources or getting stuck in an infinite loop?,Timer,Mode bit,DMA controller,Cache,Timer
What is the difference between a program and a process?,"A program is a passive entity, while a process is an active entity (a program in execution)","A program is stored in main memory, a process is stored on disk","A program is single-threaded, a process is multi-threaded",There is no difference; the terms are interchangeable,"A program is a passive entity, while a process is an active entity (a program in execution)"
Which of the following is an activity of memory management?,Deciding which processes and data to move into and out of memory,Creating and deleting files and directories,Controlling access of processes to resources,Hiding hardware peculiarities from the user,Deciding which processes and data to move into and out of memory
What logical storage unit does the OS use to abstract the physical properties of information storage?,File,Byte,Block,Cache,File
"What is spooling, as defined in the I/O subsystem?",The overlapping of output of one job with input of other jobs,Storing data temporarily while it is being transferred,Storing parts of data in faster storage for performance,A mechanism for controlling access to I/O devices,The overlapping of output of one job with input of other jobs
What is the difference between protection and security?,"Protection controls access to resources, while security defends against internal/external attacks","Protection is for hardware, security is for software","Protection is handled by the kernel, security by system programs","Protection involves user IDs, security involves passwords","Protection controls access to resources, while security defends against internal/external attacks"
